Year,Month,Day,Days,Weeks,Customer,Driver,Car Type,Pickup Location,Destination,Fare
2022,1,1,1,1,customer1,Not assigned,Taxi(4 people),tokyo,akihabara,111.11,
2022,2,1,32,5,customer1,Not assigned,Van(5 people),tokyo,kanda,111.11,
2022,3,3,62,9,customer1,Not assigned,Premium Van(6 people),tokyo,shibuya,111.11,
2022,4,4,94,14,customer1,Not assigned,Taxi(4 people),tokyo,harajuku,111.11,
2022,5,5,125,18,customer1,Not assigned,Van(5 people),tokyo,yokohama,111.11,
2022,6,6,157,23,customer1,Not assigned,Van(5 people),1,tokyo,111.11,
2022,6,14,10,10,customer6,driver1,Taxi(4 people),Tokyo,Shibuya,111,
2022,6,14,10,10,customer5,driver2,Premium Van(6 people),tokyo,kanda,111,
2022,6,14,10,10,customer3,driver1,Premium Van(6 people),tokyo,shibuya,111,
2022,6,14,10,10,customer1,driver1,Taxi(4 people),tokyo,ike,111,
2022,6,15,10,10,customer2,Not assigned,Taxi(4 people),tokyo,yokohama,111,
2022,6,15,10,10,customer1,Not assigned,Taxi(4 people),tokyo,ropponngi,111,
2022,6,15,10,10,customer7,Not assigned,Premium Van(6 people),tokyo,marunouchi,111,
2022,6,15,10,10,customer2,Not assigned,Van(5 people),tokyo,ginza,111,
2022,6,15,10,10,guest1,Not assigned,Taxi(4 people),tokyo,odaiba,111,
2022,6,15,166,10,customer4,Not assigned,Taxi(4 people),tokyo,chiyoda,111,
